name,category,date,value
Brunei,BRN,1961-01-01,0.46
Brunei,BRN,1962-01-01,0.59
Brunei,BRN,1963-01-01,0.65
Brunei,BRN,1964-01-01,0.8
Brunei,BRN,1965-01-01,0.69
Brunei,BRN,1966-01-01,0.86
Brunei,BRN,1967-01-01,0.81
Brunei,BRN,1968-01-01,0.84
Brunei,BRN,1969-01-01,0.93
Brunei,BRN,1970-01-01,0.89
Brunei,BRN,1971-01-01,0.91
Brunei,BRN,1972-01-01,0.96
Brunei,BRN,1973-01-01,0.88
Brunei,BRN,1974-01-01,0.93
Brunei,BRN,1975-01-01,0.88
Brunei,BRN,1976-01-01,1.11
Brunei,BRN,1977-01-01,1.23
Brunei,BRN,1978-01-01,1.32
Brunei,BRN,1979-01-01,1.38
Brunei,BRN,1980-01-01,1.7
Brunei,BRN,1981-01-01,1.78
Brunei,BRN,1982-01-01,1.85
Brunei,BRN,1983-01-01,2.11
Brunei,BRN,1984-01-01,2.45
Brunei,BRN,1985-01-01,2.32
Brunei,BRN,1986-01-01,2.18
Brunei,BRN,1987-01-01,2.5
Brunei,BRN,1988-01-01,1.98
Brunei,BRN,1989-01-01,2.27
Brunei,BRN,1990-01-01,2.42
Brunei,BRN,1991-01-01,2.42
Brunei,BRN,1992-01-01,0
Brunei,BRN,1993-01-01,0.42
Brunei,BRN,1994-01-01,0.34
Brunei,BRN,1995-01-01,0.22
Brunei,BRN,1996-01-01,0.19
Brunei,BRN,1997-01-01,0.18
Brunei,BRN,1998-01-01,0.12
Brunei,BRN,1999-01-01,0.18
Brunei,BRN,2000-01-01,0.19
Brunei,BRN,2001-01-01,0.2
Brunei,BRN,2002-01-01,0.09
Brunei,BRN,2003-01-01,0.09
Brunei,BRN,2004-01-01,0.08
Brunei,BRN,2005-01-01,8.863
Brunei,BRN,2006-01-01,49.696
Brunei,BRN,2007-01-01,76.807
Brunei,BRN,2008-01-01,59.864
Brunei,BRN,2009-01-01,18.793
Brunei,BRN,2010-01-01,0.19
Brunei,BRN,2011-01-01,0.84
Brunei,BRN,2012-01-01,0.87
Brunei,BRN,2013-01-01,0.67
Brunei,BRN,2014-01-01,0.66
Brunei,BRN,2015-01-01,0.66
Brunei,BRN,2016-01-01,0.66
Brunei,BRN,2017-01-01,0.66
Brunei,BRN,2018-01-01,0.66
Brunei,BRN,2019-01-01,0.66
Cambodia,KHM,1961-01-01,0
Cambodia,KHM,1962-01-01,0
Cambodia,KHM,1963-01-01,0
Cambodia,KHM,1964-01-01,0
Cambodia,KHM,1965-01-01,0
Cambodia,KHM,1966-01-01,0
Cambodia,KHM,1967-01-01,0
Cambodia,KHM,1968-01-01,0
Cambodia,KHM,1969-01-01,0
Cambodia,KHM,1970-01-01,0
Cambodia,KHM,1971-01-01,0
Cambodia,KHM,1972-01-01,0
Cambodia,KHM,1973-01-01,0
Cambodia,KHM,1974-01-01,0
Cambodia,KHM,1975-01-01,0
Cambodia,KHM,1976-01-01,0
Cambodia,KHM,1977-01-01,0
Cambodia,KHM,1978-01-01,0
Cambodia,KHM,1979-01-01,0
Cambodia,KHM,1980-01-01,0
Cambodia,KHM,1981-01-01,0
Cambodia,KHM,1982-01-01,0
Cambodia,KHM,1983-01-01,0
Cambodia,KHM,1984-01-01,0
Cambodia,KHM,1985-01-01,0
Cambodia,KHM,1986-01-01,0
Cambodia,KHM,1987-01-01,0
Cambodia,KHM,1988-01-01,0
Cambodia,KHM,1989-01-01,0
Cambodia,KHM,1990-01-01,0.02
Cambodia,KHM,1991-01-01,0.02
Cambodia,KHM,1992-01-01,0.06
Cambodia,KHM,1993-01-01,0.07
Cambodia,KHM,1994-01-01,0.23
Cambodia,KHM,1995-01-01,0.21
Cambodia,KHM,1996-01-01,0.11
Cambodia,KHM,1997-01-01,0.2
Cambodia,KHM,1998-01-01,0.2
Cambodia,KHM,1999-01-01,0.23
Cambodia,KHM,2000-01-01,34.305
Cambodia,KHM,2001-01-01,36.556
Cambodia,KHM,2002-01-01,48.531
Cambodia,KHM,2003-01-01,53.671
Cambodia,KHM,2004-01-01,58.043
Cambodia,KHM,2005-01-01,77.292
Cambodia,KHM,2006-01-01,83.633
Cambodia,KHM,2007-01-01,93.533
Cambodia,KHM,2008-01-01,98.366
Cambodia,KHM,2009-01-01,104.711
Cambodia,KHM,2010-01-01,1.75
Cambodia,KHM,2011-01-01,1.99
Cambodia,KHM,2012-01-01,2.09
Cambodia,KHM,2013-01-01,2.38
Cambodia,KHM,2014-01-01,2.64
Cambodia,KHM,2015-01-01,2.93
Cambodia,KHM,2016-01-01,3.44
Cambodia,KHM,2017-01-01,3.85
Cambodia,KHM,2018-01-01,4.12
Cambodia,KHM,2019-01-01,4.12
Indonesia,IDN,1961-01-01,0
Indonesia,IDN,1962-01-01,0
Indonesia,IDN,1963-01-01,0
Indonesia,IDN,1964-01-01,0
Indonesia,IDN,1965-01-01,0
Indonesia,IDN,1966-01-01,0
Indonesia,IDN,1967-01-01,0.01
Indonesia,IDN,1968-01-01,0.01
Indonesia,IDN,1969-01-01,0.01
