Entity,Year,Indicator
Brunei,1961,0.46
Brunei,1962,0.59
Brunei,1963,0.65
Brunei,1964,0.8
Brunei,1965,0.69
Brunei,1966,0.86
Brunei,1967,0.81
Brunei,1968,0.84
Brunei,1969,0.93
Brunei,1970,0.89
Brunei,1971,0.91
Brunei,1972,0.96
Brunei,1973,0.88
Brunei,1974,0.93
Brunei,1975,0.88
Brunei,1976,1.11
Brunei,1977,1.23
Brunei,1978,1.32
Brunei,1979,1.38
Brunei,1980,1.7
Brunei,1981,1.78
Brunei,1982,1.85
Brunei,1983,2.11
Brunei,1984,2.45
Brunei,1985,2.32
Brunei,1986,2.18
Brunei,1987,2.5
Brunei,1988,1.98
Brunei,1989,2.27
Brunei,1990,2.42
Brunei,1991,2.42
Brunei,1992,0
Brunei,1993,0.42
Brunei,1994,0.34
Brunei,1995,0.22
Brunei,1996,0.19
Brunei,1997,0.18
Brunei,1998,0.12
Brunei,1999,0.18
Brunei,2000,0.19
Brunei,2001,0.2
Brunei,2002,0.09
Brunei,2003,0.09
Brunei,2004,0.08
Brunei,2005,8.863
Brunei,2006,49.696
Brunei,2007,76.807
Brunei,2008,59.864
Brunei,2009,18.793
Brunei,2010,0.19
Brunei,2011,0.84
Brunei,2012,0.87
Brunei,2013,0.67
Brunei,2014,0.66
Brunei,2015,0.66
Brunei,2016,0.66
Brunei,2017,0.66
Brunei,2018,0.66
Brunei,2019,0.66
Cambodia,1961,0
Cambodia,1962,0
Cambodia,1963,0
Cambodia,1964,0
Cambodia,1965,0
Cambodia,1966,0
Cambodia,1967,0
Cambodia,1968,0
Cambodia,1969,0
Cambodia,1970,0
Cambodia,1971,0
Cambodia,1972,0
Cambodia,1973,0
Cambodia,1974,0
Cambodia,1975,0
Cambodia,1976,0
Cambodia,1977,0
Cambodia,1978,0
Cambodia,1979,0
Cambodia,1980,0
Cambodia,1981,0
Cambodia,1982,0
Cambodia,1983,0
Cambodia,1984,0
Cambodia,1985,0
Cambodia,1986,0
Cambodia,1987,0
Cambodia,1988,0
Cambodia,1989,0
Cambodia,1990,0.02
Cambodia,1991,0.02
Cambodia,1992,0.06
Cambodia,1993,0.07
Cambodia,1994,0.23
Cambodia,1995,0.21
Cambodia,1996,0.11
Cambodia,1997,0.2
Cambodia,1998,0.2
Cambodia,1999,0.23
Cambodia,2000,34.305
Cambodia,2001,36.556
Cambodia,2002,48.531
Cambodia,2003,53.671
Cambodia,2004,58.043
Cambodia,2005,77.292
Cambodia,2006,83.633
Cambodia,2007,93.533
Cambodia,2008,98.366
Cambodia,2009,104.711
Cambodia,2010,1.75
Cambodia,2011,1.99
Cambodia,2012,2.09
Cambodia,2013,2.38
Cambodia,2014,2.64
Cambodia,2015,2.93
Cambodia,2016,3.44
Cambodia,2017,3.85
Cambodia,2018,4.12
Cambodia,2019,4.12
Indonesia,1961,0
Indonesia,1962,0
Indonesia,1963,0
Indonesia,1964,0
Indonesia,1965,0
Indonesia,1966,0
Indonesia,1967,0.01
Indonesia,1968,0.01
Indonesia,1969,0.01
Indonesia,1970,0.01
Indonesia,1971,0.02
Indonesia,1972,0.02
Indonesia,1973,0.03
Indonesia,1974,0.03
Indonesia,1975,0.03
Indonesia,1976,0.03
Indonesia,1977,0.03
Indonesia,1978,0.03
Indonesia,1979,0.03
Indonesia,1980,0.03
Indonesia,1981,0.04
Indonesia,1982,0.04
Indonesia,1983,0.05
Indonesia,1984,0.02
Indonesia,1985,0.03
Indonesia,1986,0.03
Indonesia,1987,0.03
Indonesia,1988,0.03
Indonesia,1989,0.04
Indonesia,1990,0.04
Indonesia,1991,0.04
Indonesia,1992,0.03
Indonesia,1993,0.05
Indonesia,1994,0.03
Indonesia,1995,0.06
Indonesia,1996,0.06
Indonesia,1997,0.05
Indonesia,1998,0.05
Indonesia,1999,0.04
Indonesia,2000,5.998
Indonesia,2001,5.652
Indonesia,2002,5.021
Indonesia,2003,4.639
Indonesia,2004,5.056
Indonesia,2005,5.486
Indonesia,2006,5.688
Indonesia,2007,551
Indonesia,2008,6.239
Indonesia,2009,636
Indonesia,2010,0.06
Indonesia,2011,0.06
Indonesia,2012,0.06
Indonesia,2013,0.07
Indonesia,2014,0.07
Indonesia,2015,0.06
Indonesia,2016,0.07
Indonesia,2017,0.06
Indonesia,2018,0.06
Indonesia,2019,0.06
Laos,1961,0.08
Laos,1962,0.09
Laos,1963,0.05
Laos,1964,0.04
Laos,1965,0.05
Laos,1966,0.04
Laos,1967,0.04
Laos,1968,0.06
Laos,1969,0.11
Laos,1970,0.13
Laos,1971,0.03
Laos,1972,0.05
Laos,1973,0.04
Laos,1974,0
Laos,1975,0
Laos,1976,0
Laos,1977,0
Laos,1978,0
Laos,1979,0
Laos,1980,0
Laos,1981,0
Laos,1982,0
Laos,1983,0
Laos,1984,0
Laos,1985,0
Laos,1986,0
Laos,1987,0.01
Laos,1988,0.01
Laos,1989,1.33
Laos,1990,0.12
Laos,1991,0.21
Laos,1992,0.21
Laos,1993,0.26
Laos,1994,0.28
Laos,1995,0.37
Laos,1996,0.47
Laos,1997,0.67
Laos,1998,0.76
Laos,1999,0.74
Laos,2000,84.994
Laos,2001,93.996
Laos,2002,101.934
Laos,2003,111.544
Laos,2004,122.543
Laos,2005,140.825
Laos,2006,149.479
Laos,2007,175.085
Laos,2008,203.875
Laos,2009,217.726
Laos,2010,2.44
Laos,2011,2.62
